point_id,rot_x,rot_y,rot_z,optimal_thresholds,optimal_lod
1,0.0,270.0,0.0,0.304096;0.110515;0.027550;0.001113,0
1,0.0,315.0,0.0,0.243277;0.088412;0.022040;0.000891,1
1,15.0,0.0,0.0,0.121638;0.044206;0.011020;0.000445,3
1,15.0,45.0,0.0,0.121638;0.044206;0.011020;0.000445,3
1,15.0,90.0,0.0,0.121638;0.044206;0.011020;0.000445,3
1,15.0,135.0,0.0,0.304096;0.110515;0.027550;0.001113,0
1,15.0,180.0,0.0,0.304096;0.110515;0.027550;0.001113,0
1,15.0,225.0,0.0,0.304096;0.110515;0.027550;0.001113,0
1,15.0,270.0,0.0,0.304096;0.110515;0.027550;0.001113,0
1,15.0,315.0,0.0,0.182458;0.066309;0.016530;0.000668,2
2,-15.0,0.0,0.0,0.121638;0.044206;0.011020;0.000445,3
2,-15.0,45.0,0.0,0.121638;0.044206;0.011020;0.000445,3
2,-15.0,90.0,0.0,0.121638;0.044206;0.011020;0.000445,3
2,-15.0,135.0,0.0,0.304096;0.110515;0.027550;0.001113,0
2,-15.0,180.0,0.0,0.304096;0.110515;0.027550;0.001113,0
2,-15.0,225.0,0.0,0.304096;0.110515;0.027550;0.001113,0
2,-15.0,270.0,0.0,0.304096;0.110515;0.027550;0.001113,0
2,-15.0,315.0,0.0,0.121638;0.044206;0.011020;0.000445,3
2,0.0,0.0,0.0,0.121638;0.044206;0.011020;0.000445,3
2,0.0,45.0,0.0,0.121638;0.044206;0.011020;0.000445,3
2,0.0,90.0,0.0,0.121638;0.044206;0.011020;0.000445,3
2,0.0,135.0,0.0,0.304096;0.110515;0.027550;0.001113,0
2,0.0,180.0,0.0,0.304096;0.110515;0.027550;0.001113,0
2,0.0,225.0,0.0,0.304096;0.110515;0.027550;0.001113,0
2,0.0,270.0,0.0,0.304096;0.110515;0.027550;0.001113,0
2,0.0,315.0,0.0,0.243277;0.088412;0.022040;0.000891,1
2,15.0,0.0,0.0,0.121638;0.044206;0.011020;0.000445,3
2,15.0,45.0,0.0,0.121638;0.044206;0.011020;0.000445,3
2,15.0,90.0,0.0,0.121638;0.044206;0.011020;0.000445,3
2,15.0,135.0,0.0,0.304096;0.110515;0.027550;0.001113,0
2,15.0,180.0,0.0,0.304096;0.110515;0.027550;0.001113,0
2,15.0,225.0,0.0,0.304096;0.110515;0.027550;0.001113,0
2,15.0,270.0,0.0,0.304096;0.110515;0.027550;0.001113,0
2,15.0,315.0,0.0,0.182458;0.066309;0.016530;0.000668,2
3,-15.0,0.0,0.0,0.121638;0.044206;0.011020;0.000445,3
3,-15.0,45.0,0.0,0.121638;0.044206;0.011020;0.000445,3
3,-15.0,90.0,0.0,0.121638;0.044206;0.011020;0.000445,3
3,-15.0,135.0,0.0,0.304096;0.110515;0.027550;0.001113,0
3,-15.0,180.0,0.0,0.304096;0.110515;0.027550;0.001113,0
3,-15.0,225.0,0.0,0.304096;0.110515;0.027550;0.001113,0
3,-15.0,270.0,0.0,0.304096;0.110515;0.027550;0.001113,0
3,-15.0,315.0,0.0,0.182458;0.066309;0.016530;0.000668,2
3,0.0,0.0,0.0,0.121638;0.044206;0.011020;0.000445,3
3,0.0,45.0,0.0,0.121638;0.044206;0.011020;0.000445,3
3,0.0,90.0,0.0,0.121638;0.044206;0.011020;0.000445,3
3,0.0,135.0,0.0,0.304096;0.110515;0.027550;0.001113,0
3,0.0,180.0,0.0,0.304096;0.110515;0.027550;0.001113,0
3,0.0,225.0,0.0,0.304096;0.110515;0.027550;0.001113,0
3,0.0,270.0,0.0,0.304096;0.110515;0.027550;0.001113,0
3,0.0,315.0,0.0,0.243277;0.088412;0.022040;0.000891,1
3,15.0,0.0,0.0,0.121638;0.044206;0.011020;0.000445,3
3,15.0,45.0,0.0,0.121638;0.044206;0.011020;0.000445,3
3,15.0,90.0,0.0,0.121638;0.044206;0.011020;0.000445,3
3,15.0,135.0,0.0,0.304096;0.110515;0.027550;0.001113,0
3,15.0,180.0,0.0,0.304096;0.110515;0.027550;0.001113,0
3,15.0,225.0,0.0,0.304096;0.110515;0.027550;0.001113,0
3,15.0,270.0,0.0,0.304096;0.110515;0.027550;0.001113,0
3,15.0,315.0,0.0,0.243277;0.088412;0.022040;0.000891,1
4,-15.0,0.0,0.0,0.121638;0.044206;0.011020;0.000445,3
4,-15.0,45.0,0.0,0.121638;0.044206;0.011020;0.000445,3
4,-15.0,90.0,0.0,0.121638;0.044206;0.011020;0.000445,3
4,-15.0,135.0,0.0,0.182458;0.066309;0.016530;0.000668,2
4,-15.0,180.0,0.0,0.304096;0.110515;0.027550;0.001113,0
4,-15.0,225.0,0.0,0.304096;0.110515;0.027550;0.001113,0
4,-15.0,270.0,0.0,0.304096;0.110515;0.027550;0.001113,0
4,-15.0,315.0,0.0,0.243277;0.088412;0.022040;0.000891,1
4,0.0,0.0,0.0,0.121638;0.044206;0.011020;0.000445,3
4,0.0,45.0,0.0,0.121638;0.044206;0.011020;0.000445,3
4,0.0,90.0,0.0,0.121638;0.044206;0.011020;0.000445,3
4,0.0,135.0,0.0,0.182458;0.066309;0.016530;0.000668,2
4,0.0,180.0,0.0,0.304096;0.110515;0.027550;0.001113,0
4,0.0,225.0,0.0,0.304096;0.110515;0.027550;0.001113,0
4,0.0,270.0,0.0,0.304096;0.110515;0.027550;0.001113,0
4,0.0,315.0,0.0,0.182458;0.066309;0.016530;0.000668,2
4,15.0,0.0,0.0,0.121638;0.044206;0.011020;0.000445,3
4,15.0,45.0,0.0,0.121638;0.044206;0.011020;0.000445,3
4,15.0,90.0,0.0,0.121638;0.044206;0.011020;0.000445,3
4,15.0,135.0,0.0,0.182458;0.066309;0.016530;0.000668,2
4,15.0,180.0,0.0,0.304096;0.110515;0.027550;0.001113,0
4,15.0,225.0,0.0,0.304096;0.110515;0.027550;0.001113,0
4,15.0,270.0,0.0,0.304096;0.110515;0.027550;0.001113,0
4,15.0,315.0,0.0,0.243277;0.088412;0.022040;0.000891,1
5,-15.0,0.0,0.0,0.121638;0.044206;0.011020;0.000445,3
5,-15.0,45.0,0.0,0.121638;0.044206;0.011020;0.000445,3
5,-15.0,90.0,0.0,0.121638;0.044206;0.011020;0.000445,3
5,-15.0,135.0,0.0,0.304096;0.110515;0.027550;0.001113,0
5,-15.0,180.0,0.0,0.304096;0.110515;0.027550;0.001113,0
5,-15.0,225.0,0.0,0.304096;0.110515;0.027550;0.001113,0
5,-15.0,270.0,0.0,0.304096;0.110515;0.027550;0.001113,0
5,-15.0,315.0,0.0,0.243277;0.088412;0.022040;0.000891,1
5,0.0,0.0,0.0,0.121638;0.044206;0.011020;0.000445,3
5,0.0,45.0,0.0,0.121638;0.044206;0.011020;0.000445,3
5,0.0,90.0,0.0,0.121638;0.044206;0.011020;0.000445,3
5,0.0,135.0,0.0,0.243277;0.088412;0.022040;0.000891,1
5,0.0,180.0,0.0,0.304096;0.110515;0.027550;0.001113,0
5,0.0,225.0,0.0,0.304096;0.110515;0.027550;0.001113,0
5,0.0,270.0,0.0,0.304096;0.110515;0.027550;0.001113,0
5,0.0,315.0,0.0,0.243277;0.088412;0.022040;0.000891,1
5,15.0,0.0,0.0,0.121638;0.044206;0.011020;0.000445,3
5,15.0,45.0,0.0,0.121638;0.044206;0.011020;0.000445,3
5,15.0,90.0,0.0,0.121638;0.044206;0.011020;0.000445,3
5,15.0,135.0,0.0,0.182458;0.066309;0.016530;0.000668,2
5,15.0,180.0,0.0,0.304096;0.110515;0.027550;0.001113,0
5,15.0,225.0,0.0,0.304096;0.110515;0.027550;0.001113,0
5,15.0,270.0,0.0,0.304096;0.110515;0.027550;0.001113,0
5,15.0,315.0,0.0,0.182458;0.066309;0.016530;0.000668,2
6,-15.0,0.0,0.0,0.182458;0.066309;0.016530;0.000668,2
6,-15.0,45.0,0.0,0.121638;0.044206;0.011020;0.000445,3
6,-15.0,90.0,0.0,0.121638;0.044206;0.011020;0.000445,3
6,-15.0,135.0,0.0,0.121638;0.044206;0.011020;0.000445,3
6,-15.0,180.0,0.0,0.304096;0.110515;0.027550;0.001113,0
6,-15.0,225.0,0.0,0.304096;0.110515;0.027550;0.001113,0
6,-15.0,270.0,0.0,0.304096;0.110515;0.027550;0.001113,0
6,-15.0,315.0,0.0,0.304096;0.110515;0.027550;0.001113,0
6,0.0,0.0,0.0,0.121638;0.044206;0.011020;0.000445,3
6,0.0,45.0,0.0,0.121638;0.044206;0.011020;0.000445,3
6,0.0,90.0,0.0,0.121638;0.044206;0.011020;0.000445,3
6,0.0,135.0,0.0,0.121638;0.044206;0.011020;0.000445,3
6,0.0,180.0,0.0,0.304096;0.110515;0.027550;0.001113,0
6,0.0,225.0,0.0,0.304096;0.110515;0.027550;0.001113,0
6,0.0,270.0,0.0,0.304096;0.110515;0.027550;0.001113,0
6,0.0,315.0,0.0,0.304096;0.110515;0.027550;0.001113,0
6,15.0,0.0,0.0,0.121638;0.044206;0.011020;0.000445,3
6,15.0,45.0,0.0,0.121638;0.044206;0.011020;0.000445,3
6,15.0,90.0,0.0,0.121638;0.044206;0.011020;0.000445,3
6,15.0,135.0,0.0,0.121638;0.044206;0.011020;0.000445,3
6,15.0,180.0,0.0,0.243277;0.088412;0.022040;0.000891,1
6,15.0,225.0,0.0,0.304096;0.110515;0.027550;0.001113,0
6,15.0,270.0,0.0,0.304096;0.110515;0.027550;0.001113,0
6,15.0,315.0,0.0,0.243277;0.088412;0.022040;0.000891,1
7,-15.0,0.0,0.0,0.182458;0.066309;0.016530;0.000668,2
7,-15.0,45.0,0.0,0.121638;0.044206;0.011020;0.000445,3
7,-15.0,90.0,0.0,0.121638;0.044206;0.011020;0.000445,3
7,-15.0,135.0,0.0,0.121638;0.044206;0.011020;0.000445,3
7,-15.0,180.0,0.0,0.304096;0.110515;0.027550;0.001113,0
7,-15.0,225.0,0.0,0.304096;0.110515;0.027550;0.001113,0
7,-15.0,270.0,0.0,0.304096;0.110515;0.027550;0.001113,0
7,-15.0,315.0,0.0,0.304096;0.110515;0.027550;0.001113,0
7,0.0,0.0,0.0,0.121638;0.044206;0.011020;0.000445,3
7,0.0,45.0,0.0,0.121638;0.044206;0.011020;0.000445,3
7,0.0,90.0,0.0,0.121638;0.044206;0.011020;0.000445,3
7,0.0,135.0,0.0,0.121638;0.044206;0.011020;0.000445,3
7,0.0,180.0,0.0,0.304096;0.110515;0.027550;0.001113,0
7,0.0,225.0,0.0,0.304096;0.110515;0.027550;0.001113,0
7,0.0,270.0,0.0,0.304096;0.110515;0.027550;0.001113,0
7,0.0,315.0,0.0,0.243277;0.088412;0.022040;0.000891,1
7,15.0,0.0,0.0,0.121638;0.044206;0.011020;0.000445,3
7,15.0,45.0,0.0,0.121638;0.044206;0.011020;0.000445,3
7,15.0,90.0,0.0,0.121638;0.044206;0.011020;0.000445,3
7,15.0,135.0,0.0,0.121638;0.044206;0.011020;0.000445,3
7,15.0,180.0,0.0,0.304096;0.110515;0.027550;0.001113,0
7,15.0,225.0,0.0,0.304096;0.110515;0.027550;0.001113,0
7,15.0,270.0,0.0,0.304096;0.110515;0.027550;0.001113,0
7,15.0,315.0,0.0,0.243277;0.088412;0.022040;0.000891,1
8,-15.0,0.0,0.0,0.304096;0.110515;0.027550;0.001113,0
8,-15.0,45.0,0.0,0.121638;0.044206;0.011020;0.000445,3
8,-15.0,90.0,0.0,0.121638;0.044206;0.011020;0.000445,3
8,-15.0,135.0,0.0,0.121638;0.044206;0.011020;0.000445,3
8,-15.0,180.0,0.0,0.182458;0.066309;0.016530;0.000668,2
8,-15.0,225.0,0.0,0.304096;0.110515;0.027550;0.001113,0
8,-15.0,270.0,0.0,0.304096;0.110515;0.027550;0.001113,0
8,-15.0,315.0,0.0,0.304096;0.110515;0.027550;0.001113,0
8,0.0,0.0,0.0,0.121638;0.044206;0.011020;0.000445,3
8,0.0,45.0,0.0,0.121638;0.044206;0.011020;0.000445,3
8,0.0,90.0,0.0,0.121638;0.044206;0.011020;0.000445,3
8,0.0,135.0,0.0,0.121638;0.044206;0.011020;0.000445,3
8,0.0,180.0,0.0,0.182458;0.066309;0.016530;0.000668,2
8,0.0,225.0,0.0,0.304096;0.110515;0.027550;0.001113,0
8,0.0,270.0,0.0,0.304096;0.110515;0.027550;0.001113,0
8,0.0,315.0,0.0,0.304096;0.110515;0.027550;0.001113,0
8,15.0,0.0,0.0,0.121638;0.044206;0.011020;0.000445,3
8,15.0,45.0,0.0,0.121638;0.044206;0.011020;0.000445,3
8,15.0,90.0,0.0,0.121638;0.044206;0.011020;0.000445,3
8,15.0,135.0,0.0,0.121638;0.044206;0.011020;0.000445,3
8,15.0,180.0,0.0,0.182458;0.066309;0.016530;0.000668,2
8,15.0,225.0,0.0,0.304096;0.110515;0.027550;0.001113,0
8,15.0,270.0,0.0,0.304096;0.110515;0.027550;0.001113,0
8,15.0,315.0,0.0,0.304096;0.110515;0.027550;0.001113,0
9,-15.0,0.0,0.0,0.304096;0.110515;0.027550;0.001113,0
9,-15.0,45.0,0.0,0.121638;0.044206;0.011020;0.000445,3
9,-15.0,90.0,0.0,0.121638;0.044206;0.011020;0.000445,3
9,-15.0,135.0,0.0,0.121638;0.044206;0.011020;0.000445,3
9,-15.0,180.0,0.0,0.304096;0.110515;0.027550;0.001113,0
9,-15.0,225.0,0.0,0.304096;0.110515;0.027550;0.001113,0
9,-15.0,270.0,0.0,0.304096;0.110515;0.027550;0.001113,0
9,-15.0,315.0,0.0,0.304096;0.110515;0.027550;0.001113,0
9,0.0,0.0,0.0,0.121638;0.044206;0.011020;0.000445,3
9,0.0,45.0,0.0,0.121638;0.044206;0.011020;0.000445,3
9,0.0,90.0,0.0,0.121638;0.044206;0.011020;0.000445,3
9,0.0,135.0,0.0,0.121638;0.044206;0.011020;0.000445,3
9,0.0,180.0,0.0,0.182458;0.066309;0.016530;0.000668,2
9,0.0,225.0,0.0,0.304096;0.110515;0.027550;0.001113,0
9,0.0,270.0,0.0,0.304096;0.110515;0.027550;0.001113,0
9,0.0,315.0,0.0,0.304096;0.110515;0.027550;0.001113,0
9,15.0,0.0,0.0,0.121638;0.044206;0.011020;0.000445,3
9,15.0,45.0,0.0,0.121638;0.044206;0.011020;0.000445,3
9,15.0,90.0,0.0,0.121638;0.044206;0.011020;0.000445,3
9,15.0,135.0,0.0,0.121638;0.044206;0.011020;0.000445,3
9,15.0,180.0,0.0,0.182458;0.066309;0.016530;0.000668,2
9,15.0,225.0,0.0,0.304096;0.110515;0.027550;0.001113,0
9,15.0,270.0,0.0,0.304096;0.110515;0.027550;0.001113,0
9,15.0,315.0,0.0,0.304096;0.110515;0.027550;0.001113,0
10,-15.0,0.0,0.0,0.304096;0.110515;0.027550;0.001113,0
10,-15.0,45.0,0.0,0.121638;0.044206;0.011020;0.000445,3
10,-15.0,90.0,0.0,0.121638;0.044206;0.011020;0.000445,3
10,-15.0,135.0,0.0,0.121638;0.044206;0.011020;0.000445,3
10,-15.0,180.0,0.0,0.243277;0.088412;0.022040;0.000891,1
10,-15.0,225.0,0.0,0.304096;0.110515;0.027550;0.001113,0
10,-15.0,270.0,0.0,0.304096;0.110515;0.027550;0.001113,0
10,-15.0,315.0,0.0,0.304096;0.110515;0.027550;0.001113,0
10,0.0,0.0,0.0,0.182458;0.066309;0.016530;0.000668,2
10,0.0,45.0,0.0,0.121638;0.044206;0.011020;0.000445,3
10,0.0,90.0,0.0,0.121638;0.044206;0.011020;0.000445,3
10,0.0,135.0,0.0,0.121638;0.044206;0.011020;0.000445,3
10,0.0,180.0,0.0,0.182458;0.066309;0.016530;0.000668,2
10,0.0,225.0,0.0,0.304096;0.110515;0.027550;0.001113,0
10,0.0,270.0,0.0,0.304096;0.110515;0.027550;0.001113,0
10,0.0,315.0,0.0,0.304096;0.110515;0.027550;0.001113,0
10,15.0,0.0,0.0,0.121638;0.044206;0.011020;0.000445,3
10,15.0,45.0,0.0,0.121638;0.044206;0.011020;0.000445,3
10,15.0,90.0,0.0,0.121638;0.044206;0.011020;0.000445,3
10,15.0,135.0,0.0,0.121638;0.044206;0.011020;0.000445,3
10,15.0,180.0,0.0,0.182458;0.066309;0.016530;0.000668,2
10,15.0,225.0,0.0,0.304096;0.110515;0.027550;0.001113,0
10,15.0,270.0,0.0,0.304096;0.110515;0.027550;0.001113,0
10,15.0,315.0,0.0,0.304096;0.110515;0.027550;0.001113,0
11,-15.0,0.0,0.0,0.304096;0.110515;0.027550;0.001113,0
11,-15.0,45.0,0.0,0.121638;0.044206;0.011020;0.000445,3
11,-15.0,90.0,0.0,0.121638;0.044206;0.011020;0.000445,3
11,-15.0,135.0,0.0,0.121638;0.044206;0.011020;0.000445,3
11,-15.0,180.0,0.0,0.304096;0.110515;0.027550;0.001113,0
11,-15.0,225.0,0.0,0.304096;0.110515;0.027550;0.001113,0
11,-15.0,270.0,0.0,0.304096;0.110515;0.027550;0.001113,0
11,-15.0,315.0,0.0,0.304096;0.110515;0.027550;0.001113,0
11,0.0,0.0,0.0,0.121638;0.044206;0.011020;0.000445,3
11,0.0,45.0,0.0,0.121638;0.044206;0.011020;0.000445,3
11,0.0,90.0,0.0,0.121638;0.044206;0.011020;0.000445,3
11,0.0,135.0,0.0,0.121638;0.044206;0.011020;0.000445,3
11,0.0,180.0,0.0,0.182458;0.066309;0.016530;0.000668,2
11,0.0,225.0,0.0,0.304096;0.110515;0.027550;0.001113,0
11,0.0,270.0,0.0,0.304096;0.110515;0.027550;0.001113,0
11,0.0,315.0,0.0,0.304096;0.110515;0.027550;0.001113,0
11,15.0,0.0,0.0,0.121638;0.044206;0.011020;0.000445,3
11,15.0,45.0,0.0,0.121638;0.044206;0.011020;0.000445,3
11,15.0,90.0,0.0,0.121638;0.044206;0.011020;0.000445,3
11,15.0,135.0,0.0,0.121638;0.044206;0.011020;0.000445,3
11,15.0,180.0,0.0,0.121638;0.044206;0.011020;0.000445,3
11,15.0,225.0,0.0,0.304096;0.110515;0.027550;0.001113,0
11,15.0,270.0,0.0,0.304096;0.110515;0.027550;0.001113,0
11,15.0,315.0,0.0,0.304096;0.110515;0.027550;0.001113,0
12,-15.0,0.0,0.0,0.304096;0.110515;0.027550;0.001113,0
12,-15.0,45.0,0.0,0.121638;0.044206;0.011020;0.000445,3
12,-15.0,90.0,0.0,0.121638;0.044206;0.011020;0.000445,3
12,-15.0,135.0,0.0,0.121638;0.044206;0.011020;0.000445,3
12,-15.0,180.0,0.0,0.182458;0.066309;0.016530;0.000668,2
12,-15.0,225.0,0.0,0.304096;0.110515;0.027550;0.001113,0
12,-15.0,270.0,0.0,0.304096;0.110515;0.027550;0.001113,0
12,-15.0,315.0,0.0,0.304096;0.110515;0.027550;0.001113,0
12,0.0,0.0,0.0,0.243277;0.088412;0.022040;0.000891,1
12,0.0,45.0,0.0,0.121638;0.044206;0.011020;0.000445,3
12,0.0,90.0,0.0,0.121638;0.044206;0.011020;0.000445,3
12,0.0,135.0,0.0,0.121638;0.044206;0.011020;0.000445,3
12,0.0,180.0,0.0,0.182458;0.066309;0.016530;0.000668,2
12,0.0,225.0,0.0,0.304096;0.110515;0.027550;0.001113,0
12,0.0,270.0,0.0,0.304096;0.110515;0.027550;0.001113,0
12,0.0,315.0,0.0,0.304096;0.110515;0.027550;0.001113,0
12,15.0,0.0,0.0,0.243277;0.088412;0.022040;0.000891,1
12,15.0,45.0,0.0,0.121638;0.044206;0.011020;0.000445,3
12,15.0,90.0,0.0,0.121638;0.044206;0.011020;0.000445,3
12,15.0,135.0,0.0,0.121638;0.044206;0.011020;0.000445,3
12,15.0,180.0,0.0,0.121638;0.044206;0.011020;0.000445,3
12,15.0,225.0,0.0,0.304096;0.110515;0.027550;0.001113,0
12,15.0,270.0,0.0,0.304096;0.110515;0.027550;0.001113,0
12,15.0,315.0,0.0,0.304096;0.110515;0.027550;0.001113,0
13,-15.0,0.0,0.0,0.304096;0.110515;0.027550;0.001113,0
13,-15.0,45.0,0.0,0.121638;0.044206;0.011020;0.000445,3
13,-15.0,90.0,0.0,0.121638;0.044206;0.011020;0.000445,3
13,-15.0,135.0,0.0,0.121638;0.044206;0.011020;0.000445,3
13,-15.0,180.0,0.0,0.304096;0.110515;0.027550;0.001113,0
13,-15.0,225.0,0.0,0.304096;0.110515;0.027550;0.001113,0
13,-15.0,270.0,0.0,0.304096;0.110515;0.027550;0.001113,0
13,-15.0,315.0,0.0,0.304096;0.110515;0.027550;0.001113,0
13,0.0,0.0,0.0,0.121638;0.044206;0.011020;0.000445,3
13,0.0,45.0,0.0,0.121638;0.044206;0.011020;0.000445,3
13,0.0,90.0,0.0,0.121638;0.044206;0.011020;0.000445,3
13,0.0,135.0,0.0,0.121638;0.044206;0.011020;0.000445,3
13,0.0,180.0,0.0,0.182458;0.066309;0.016530;0.000668,2
13,0.0,225.0,0.0,0.304096;0.110515;0.027550;0.001113,0
13,0.0,270.0,0.0,0.304096;0.110515;0.027550;0.001113,0
13,0.0,315.0,0.0,0.304096;0.110515;0.027550;0.001113,0
13,15.0,0.0,0.0,0.182458;0.066309;0.016530;0.000668,2
13,15.0,45.0,0.0,0.121638;0.044206;0.011020;0.000445,3
13,15.0,90.0,0.0,0.121638;0.044206;0.011020;0.000445,3
13,15.0,135.0,0.0,0.121638;0.044206;0.011020;0.000445,3
13,15.0,180.0,0.0,0.121638;0.044206;0.011020;0.000445,3
13,15.0,225.0,0.0,0.304096;0.110515;0.027550;0.001113,0
13,15.0,270.0,0.0,0.304096;0.110515;0.027550;0.001113,0
13,15.0,315.0,0.0,0.304096;0.110515;0.027550;0.001113,0
14,-15.0,0.0,0.0,0.304096;0.110515;0.027550;0.001113,0
14,-15.0,45.0,0.0,0.121638;0.044206;0.011020;0.000445,3
14,-15.0,90.0,0.0,0.121638;0.044206;0.011020;0.000445,3
14,-15.0,135.0,0.0,0.121638;0.044206;0.011020;0.000445,3
14,-15.0,180.0,0.0,0.243277;0.088412;0.022040;0.000891,1
14,-15.0,225.0,0.0,0.304096;0.110515;0.027550;0.001113,0
14,-15.0,270.0,0.0,0.304096;0.110515;0.027550;0.001113,0
14,-15.0,315.0,0.0,0.304096;0.110515;0.027550;0.001113,0
14,0.0,0.0,0.0,0.304096;0.110515;0.027550;0.001113,0
14,0.0,45.0,0.0,0.243277;0.088412;0.022040;0.000891,1
14,0.0,90.0,0.0,0.121638;0.044206;0.011020;0.000445,3
14,0.0,135.0,0.0,0.121638;0.044206;0.011020;0.000445,3
14,0.0,180.0,0.0,0.182458;0.066309;0.016530;0.000668,2
14,0.0,225.0,0.0,0.304096;0.110515;0.027550;0.001113,0
14,0.0,270.0,0.0,0.304096;0.110515;0.027550;0.001113,0
14,0.0,315.0,0.0,0.304096;0.110515;0.027550;0.001113,0
14,15.0,0.0,0.0,0.243277;0.088412;0.022040;0.000891,1
14,15.0,45.0,0.0,0.121638;0.044206;0.011020;0.000445,3
14,15.0,90.0,0.0,0.121638;0.044206;0.011020;0.000445,3
14,15.0,135.0,0.0,0.121638;0.044206;0.011020;0.000445,3
14,15.0,180.0,0.0,0.121638;0.044206;0.011020;0.000445,3
14,15.0,225.0,0.0,0.304096;0.110515;0.027550;0.001113,0
14,15.0,270.0,0.0,0.304096;0.110515;0.027550;0.001113,0
14,15.0,315.0,0.0,0.304096;0.110515;0.027550;0.001113,0
15,-15.0,0.0,0.0,0.304096;0.110515;0.027550;0.001113,0
15,-15.0,45.0,0.0,0.121638;0.044206;0.011020;0.000445,3
15,-15.0,90.0,0.0,0.121638;0.044206;0.011020;0.000445,3
15,-15.0,135.0,0.0,0.121638;0.044206;0.011020;0.000445,3
15,-15.0,180.0,0.0,0.182458;0.066309;0.016530;0.000668,2
15,-15.0,225.0,0.0,0.304096;0.110515;0.027550;0.001113,0
15,-15.0,270.0,0.0,0.304096;0.110515;0.027550;0.001113,0
15,-15.0,315.0,0.0,0.304096;0.110515;0.027550;0.001113,0
15,0.0,0.0,0.0,0.243277;0.088412;0.022040;0.000891,1
15,0.0,45.0,0.0,0.121638;0.044206;0.011020;0.000445,3
15,0.0,90.0,0.0,0.121638;0.044206;0.011020;0.000445,3
15,0.0,135.0,0.0,0.121638;0.044206;0.011020;0.000445,3
15,0.0,180.0,0.0,0.182458;0.066309;0.016530;0.000668,2
15,0.0,225.0,0.0,0.304096;0.110515;0.027550;0.001113,0
15,0.0,270.0,0.0,0.304096;0.110515;0.027550;0.001113,0
15,0.0,315.0,0.0,0.304096;0.110515;0.027550;0.001113,0
15,15.0,0.0,0.0,0.121638;0.044206;0.011020;0.000445,3
15,15.0,45.0,0.0,0.121638;0.044206;0.011020;0.000445,3
15,15.0,90.0,0.0,0.121638;0.044206;0.011020;0.000445,3
15,15.0,135.0,0.0,0.121638;0.044206;0.011020;0.000445,3
15,15.0,180.0,0.0,0.121638;0.044206;0.011020;0.000445,3
15,15.0,225.0,0.0,0.304096;0.110515;0.027550;0.001113,0
15,15.0,270.0,0.0,0.304096;0.110515;0.027550;0.001113,0
